Suburb,Rooms,Type,Method,SellerG,Distance,Regionname,Propertycount,CouncilArea,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Price
Abbotsford,3,u,S,Jellis,2.5,Northern Metropolitan,4019.0,Yarra City Council,3.0,2.0,2.0,4290.0,27.0,1090000.0
Abbotsford,2,u,S,Collins,2.5,Northern Metropolitan,4019.0,Yarra City Council,2.0,1.0,1.0,0.0,60.0,500000.0
Abbotsford,2,h,PI,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,2.0,2.0,1.0,124.0,135.0,1100000.0
Abbotsford,2,h,S,Marshall,2.5,Northern Metropolitan,4019.0,Yarra City Council,2.0,1.0,0.0,147.0,85.0,1315000.0
Abbotsford,1,u,S,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,480000.0
Abbotsford,1,u,S,hockingstuart,2.5,Northern Metropolitan,4019.0,Yarra City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,423500.0
Abbotsford,1,u,SP,Greg,2.5,Northern Metropolitan,4019.0,Yarra City Council,1.0,1.0,1.0,0.0,160.2564003565711,426000.0
Abbotsford,3,h,PI,Nelson,2.5,Northern Metropolitan,4019.0,Yarra City Council,3.0,3.0,1.0,166.0,174.0,1447500.0
Abbotsford,1,u,S,Jellis,2.5,Northern Metropolitan,4019.0,Yarra City Council,1.0,1.0,1.0,0.0,50.0,457000.0
Abbotsford,2,h,S,Nelson,2.5,Northern Metropolitan,4019.0,Yarra City Council,2.0,2.0,2.0,98.0,128.0,1135000.0
Abbotsford,2,h,S,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,700000.0
Abbotsford,4,h,S,Collins,2.5,Northern Metropolitan,4019.0,Yarra City Council,4.0,3.0,1.0,0.0,160.2564003565711,1542000.0
Abbotsford,3,t,SP,Jellis,2.5,Northern Metropolitan,4019.0,Yarra City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,962000.0
Abbotsford,3,h,S,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,3.0,2.0,2.0,147.0,18.0,1290000.0
Abbotsford,3,h,S,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,3.0,1.0,1.0,168.0,124.0,1290000.0
Abbotsford,1,u,S,Nelson,2.5,Northern Metropolitan,4019.0,Yarra City Council,1.0,1.0,1.0,0.0,50.0,470000.0
Abbotsford,2,h,S,Jellis,2.5,Northern Metropolitan,4019.0,Yarra City Council,2.0,1.0,0.0,162.0,91.0,1180000.0
Abbotsford,3,h,SP,Jellis,2.5,Northern Metropolitan,4019.0,Yarra City Council,3.0,2.0,1.0,120.0,128.0,1195000.0
Abbotsford,2,h,S,Nelson,2.5,Northern Metropolitan,4019.0,Yarra City Council,2.0,1.0,0.0,182.0,82.0,1012500.0
Abbotsford,2,u,SP,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,970000.0
Abbotsford,2,h,S,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,2.0,1.0,1.0,172.0,81.0,1030000.0
Abbotsford,3,h,S,Biggin,2.5,Northern Metropolitan,4019.0,Yarra City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,927000.0
Airport West,3,t,PI,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,2.0,1.0,303.0,225.0,840000.0
Airport West,3,h,VB,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,2.0,1.0,0.0,145.0,730000.0
Airport West,3,h,SP,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,2.0,1.0,0.0,145.0,770000.0
Airport West,2,h,S,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,2.0,1.0,1.0,272.0,84.0,603000.0
Airport West,3,t,S,Brad,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,2.0,2.0,239.0,134.0,700000.0
Airport West,3,h,S,Maddison,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,2.0,1.0,1.0,290.0,116.0,600000.0
Airport West,2,u,VB,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,2.0,1.0,1.0,168.0,86.0,500000.0
Airport West,2,t,VB,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,420000.0
Airport West,3,t,VB,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,500000.0
Airport West,5,h,S,Airport,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,1035000.0
Airport West,4,h,S,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,960000.0
Airport West,4,h,S,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,960000.0
Airport West,3,h,S,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,2.0,1.0,1.0,620.0,160.2564003565711,720000.0
Airport West,4,h,S,Considine,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,1.0,2.0,597.0,127.0,785000.0
Airport West,6,h,SP,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,6.0,3.0,2.0,976.0,186.0,725000.0
Airport West,2,t,S,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,2.0,1.0,1.0,110.0,90.0,450000.0
Airport West,2,u,S,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,2.0,1.0,1.0,141.0,73.0,515000.0
Airport West,3,h,VB,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,680000.0
Airport West,2,u,S,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,2.0,1.0,1.0,120.0,94.0,530000.0
Airport West,3,h,PI,Rendina,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,1.0,6.0,1063.0,133.0,895000.0
Airport West,3,u,VB,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,600000.0
Airport West,3,h,S,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,1.0,1.0,0.0,105.0,805000.0
Airport West,3,t,PI,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,760000.0
Airport West,3,u,S,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,1.0,1.0,265.0,130.0,752000.0
Airport West,3,u,VB,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,580000.0
Airport West,3,h,PI,Ray,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,725000.0
Airport West,4,h,S,Jellis,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,758000.0
Airport West,2,u,S,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,2.0,1.0,1.0,192.0,160.2564003565711,440000.0
Airport West,3,h,S,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,970000.0
Airport West,5,h,PI,Propertyau,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,2.0,2.0,596.0,160.2564003565711,755000.0
Airport West,4,h,S,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,985000.0
Airport West,3,t,PI,Brad,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,2.0,2.0,165.0,133.0,700000.0
Airport West,2,u,SP,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,509500.0
Airport West,3,h,S,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,1.0,2.0,971.0,113.0,830000.0
Airport West,2,u,S,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,2.0,1.0,1.0,164.0,160.2564003565711,462500.0
Airport West,3,h,SP,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,2.0,2.0,657.0,160.2564003565711,670000.0
Airport West,2,h,S,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,2.0,1.0,1.0,612.0,100.0,675000.0
Airport West,3,h,S,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,2.0,5.0,612.0,174.0,1042000.0
Airport West,3,h,S,McDonald,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,1.0,1.0,775.0,160.2564003565711,910000.0
Airport West,4,h,S,Brad,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,5.0,3.0,4.0,531.0,309.0,773000.0
Airport West,3,h,S,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,715000.0
Airport West,3,h,PI,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,3.0,2.0,555.0,192.0,810000.0
Airport West,3,h,S,Rendina,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,2.0,2.0,422.0,126.0,715000.0
Airport West,3,h,S,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,1.0,3.0,614.0,160.2564003565711,790000.0
Airport West,2,t,VB,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,460000.0
Airport West,3,t,SP,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,2.0,2.0,1.0,161.0,101.0,540000.0
Airport West,3,t,SP,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,2.0,1.0,293.0,102.0,825000.0
Airport West,3,h,S,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,1.0,1.0,579.0,113.0,685000.0
Airport West,3,u,S,Brad,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,445000.0
Airport West,3,h,S,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,1.0,1.0,623.0,160.2564003565711,805000.0
Airport West,2,u,S,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,2.0,1.0,1.0,141.0,76.0,510000.0
Airport West,3,h,S,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,2.0,1.0,212.0,160.2564003565711,612000.0
Airport West,3,h,S,Brad,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,1.0,2.0,612.0,160.2564003565711,662000.0
Airport West,4,h,S,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,4.0,3.0,2.0,532.0,160.2564003565711,978000.0
Airport West,3,h,PI,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,3.0,1.0,1.0,585.0,160.2564003565711,720000.0
Airport West,2,u,PI,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,474000.0
Airport West,2,t,SP,Frank,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,490000.0
Airport West,3,h,S,Ray,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,405000.0
Airport West,3,t,S,Barry,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,715000.0
Airport West,3,u,S,McDonald,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,671500.0
Airport West,4,h,S,Prof.,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,4.0,1.0,2.0,509.0,160.2564003565711,765000.0
Airport West,4,h,S,Harcourts,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,4.0,2.0,3.0,628.0,146.0,900000.0
Airport West,3,u,S,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,820000.0
Airport West,3,u,PI,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,650000.0
Airport West,3,t,SP,Nelson,13.5,Western Metropolitan,3464.0,Moonee Valley City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,552000.0
Albert Park,2,h,S,hockingstuart,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,2.0,1.0,0.0,120.0,82.0,1275000.0
Albert Park,2,h,S,Thomson,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,2.0,1.0,0.0,159.0,160.2564003565711,1455000.0
Albert Park,3,h,PI,Buxton,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,2.0,0.0,211.0,198.0,2850000.0
Albert Park,3,h,S,Greg,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,2.0,0.0,128.0,133.0,1850000.0
Albert Park,2,h,S,RT,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,2.0,1.0,0.0,130.0,81.0,1436000.0
Albert Park,2,h,S,Marshall,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,1.0,1.0,0.0,147.0,160.2564003565711,1110000.0
Albert Park,2,h,S,Sotheby's,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,2.0,1.0,1.0,167.0,160.2564003565711,1550000.0
Albert Park,4,h,S,Marshall,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,4.0,2.0,1.0,153.0,180.0,2300000.0
Albert Park,3,t,VB,Marshall,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,2.0,2.0,718.0,160.2564003565711,1550000.0
Albert Park,3,h,VB,Greg,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,2.0,1.0,132.0,159.0,1800000.0
Albert Park,3,h,S,Cayzer,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,2485000.0
Albert Park,2,h,S,Greg,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,2.0,1.0,1.0,199.0,107.0,2120000.0
Albert Park,3,h,VB,Cayzer,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,1.0,1.0,253.0,160.2564003565711,1800000.0
Albert Park,3,h,S,Marshall,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,2.0,1.0,90.0,122.0,1800000.0
Albert Park,2,h,PI,Greg,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,2.0,1.0,0.0,240.0,160.2564003565711,1810000.0
Albert Park,3,h,S,Cayzer,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,2.0,1.0,177.0,181.0,2615000.0
Albert Park,5,h,S,Greg,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,5.0,2.0,1.0,237.0,160.2564003565711,2100000.0
Albert Park,3,h,S,hockingstuart,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,1.0,0.0,129.0,160.2564003565711,1300000.0
Albert Park,3,h,S,Greg,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,2.0,2.0,0.0,85.0,1370000.0
Albert Park,2,h,S,Cayzer,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,2.0,1.0,0.0,288.0,160.2564003565711,1000000.0
Albert Park,3,h,S,Greg,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,2.0,1.0,228.0,160.2564003565711,2575000.0
Albert Park,2,h,S,Greg,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,2.0,1.0,0.0,149.0,98.0,1322500.0
Albert Park,2,h,S,Greg,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,2.0,1.0,0.0,141.0,83.0,1562500.0
Albert Park,3,h,VB,RT,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,2.0,1.0,211.0,147.0,2000000.0
Albert Park,3,h,S,Greg,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,1.0,0.0,209.0,160.2564003565711,1900000.0
Albert Park,3,h,S,Greg,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,2.0,0.0,147.0,146.0,3010000.0
Albert Park,4,h,VB,Cayzer,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,4.0,3.0,1.0,327.0,254.0,2800000.0
Albert Park,2,u,S,Greg,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,2.0,1.0,1.0,0.0,160.2564003565711,647000.0
Albert Park,3,h,SP,Marshall,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,2.0,1.0,1.0,120.0,123.0,2100000.0
Albert Park,3,h,PI,Marshall,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,1.0,1.0,238.0,131.0,2000000.0
Albert Park,1,u,S,Marshall,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,1.0,1.0,0.0,0.0,34.0,442500.0
Albert Park,4,h,S,Marshall,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,4.0,2.0,1.0,330.0,207.0,4735000.0
Albert Park,2,h,S,Greg,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,2.0,1.0,0.0,136.0,160.2564003565711,1340000.0
Albert Park,3,h,S,hockingstuart,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,1.0,1.0,202.0,160.2564003565711,1801000.0
Albert Park,3,h,S,Chisholm,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,3.0,1.0,0.0,160.2564003565711,1532000.0
Albert Park,3,h,S,Greg,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,2.0,2.0,325.0,160.2564003565711,3755000.0
Albert Park,4,h,S,Greg,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,2.0,1.0,183.0,145.0,2140000.0
Albert Park,2,u,PI,Marshall,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,1810000.0
Albert Park,2,h,S,Marshall,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,2.0,1.0,1.0,162.0,160.2564003565711,1750000.0
Albert Park,2,h,S,Greg,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,2.0,1.0,0.0,79.0,68.0,980000.0
Albert Park,3,h,S,hockingstuart,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,2.0,0.0,152.0,160.2564003565711,2030000.0
Albert Park,3,h,PI,Marshall,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,2.0,2.0,147.0,134.0,1740000.0
Albert Park,3,h,VB,Buxton,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,3.0,3.0,1.0,0.0,160.2564003565711,2800000.0
Albert Park,1,h,S,Marshall,3.3,Southern Metropolitan,3280.0,Port Phillip City Council,1.0,1.0,0.0,81.0,54.0,985000.0
Alphington,4,h,S,Brace,6.4,Northern Metropolitan,2211.0,Darebin City Council,3.0,2.0,4.0,853.0,263.0,2000000.0
Alphington,3,h,S,Jellis,6.4,Northern Metropolitan,2211.0,Darebin City Council,3.0,2.0,2.0,208.0,160.2564003565711,1110000.0
Alphington,3,h,S,Jellis,6.4,Northern Metropolitan,2211.0,Darebin City Council,3.0,2.0,2.0,411.0,160.2564003565711,1492000.0
Alphington,2,u,PI,Miles,6.4,Northern Metropolitan,2211.0,Darebin City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,480000.0
Alphington,3,t,SP,Holland,6.4,Northern Metropolitan,2211.0,Darebin City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,1304000.0
Alphington,4,h,S,Collins,6.4,Northern Metropolitan,2211.0,Darebin City Council,4.0,2.0,1.0,599.0,203.0,1717500.0
Alphington,5,h,S,Nelson,6.4,Northern Metropolitan,2211.0,Darebin City Council,5.0,4.0,4.0,809.0,165.0,2840000.0
Alphington,2,u,S,Miles,6.4,Northern Metropolitan,2211.0,Darebin City Council,2.0,1.0,1.0,88.0,60.0,525500.0
Alphington,2,t,S,Miles,6.4,Northern Metropolitan,2211.0,Darebin City Council,2.0,2.0,3.0,155.0,140.0,805000.0
Alphington,2,u,S,McGrath,6.4,Northern Metropolitan,2211.0,Darebin City Council,2.0,1.0,1.0,0.0,160.2564003565711,465000.0
Alphington,3,h,S,Nelson,6.4,Northern Metropolitan,2211.0,Darebin City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,1480000.0
Alphington,3,h,PI,hockingstuart,6.4,Northern Metropolitan,2211.0,Darebin City Council,3.0,3.0,2.0,686.0,160.2564003565711,2000000.0
Alphington,3,h,S,Nelson,6.4,Northern Metropolitan,2211.0,Darebin City Council,3.0,1.0,2.0,592.0,160.2564003565711,1540000.0
Alphington,2,u,PI,Nelson,6.4,Northern Metropolitan,2211.0,Darebin City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,590000.0
Alphington,2,u,S,Nelson,6.4,Northern Metropolitan,2211.0,Darebin City Council,2.0,1.0,1.0,183.0,160.2564003565711,820000.0
Alphington,4,h,S,Nelson,6.4,Northern Metropolitan,2211.0,Darebin City Council,4.0,2.0,2.0,606.0,112.0,1830000.0
Alphington,4,h,S,Nelson,6.4,Northern Metropolitan,2211.0,Darebin City Council,4.0,2.0,2.0,575.0,271.0,2100000.0
Alphington,3,h,SP,hockingstuart,6.4,Northern Metropolitan,2211.0,Darebin City Council,3.0,1.0,1.0,180.0,131.0,865000.0
Alphington,2,u,VB,Nelson,6.4,Northern Metropolitan,2211.0,Darebin City Council,2.0,1.0,1.0,0.0,60.0,390000.0
Alphington,2,t,SP,Brace,6.4,Northern Metropolitan,2211.0,Darebin City Council,0.0,1.0,0.0,0.0,160.2564003565711,650000.0
Alphington,2,u,S,Love,6.4,Northern Metropolitan,2211.0,Darebin City Council,2.0,1.0,1.0,0.0,61.0,512000.0
Alphington,3,h,S,Collins,6.4,Northern Metropolitan,2211.0,Darebin City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,1361000.0
Alphington,3,h,S,Jellis,6.4,Northern Metropolitan,2211.0,Darebin City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,1310000.0
Alphington,3,h,VB,Thomas,6.4,Northern Metropolitan,2211.0,Darebin City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,570000.0
Alphington,3,h,S,Barry,6.4,Northern Metropolitan,2211.0,Darebin City Council,3.0,1.0,2.0,979.0,160.2564003565711,1165000.0
Alphington,2,u,S,Jellis,6.4,Northern Metropolitan,2211.0,Darebin City Council,0.0,0.0,0.0,593.598993361392,160.2564003565711,530000.0
Alphington,4,h,SP,McGrath,6.4,Northern Metropolitan,2211.0,Darebin City Council,4.0,2.0,2.0,556.0,272.0,1900000.0
