	ResponseId	MainBranch	Employment	Country	US_State	UK_Country	EdLevel	Age1stCode	LearnCode	YearsCode	YearsCodePro	DevType	OrgSize	Currency	CompTotal	CompFreq	LanguageHaveWorkedWith	LanguageWantToWorkWith	DatabaseHaveWorkedWith	DatabaseWantToWorkWith	PlatformHaveWorkedWith	PlatformWantToWorkWith	WebframeHaveWorkedWith	WebframeWantToWorkWith	MiscTechHaveWorkedWith	MiscTechWantToWorkWith	ToolsTechHaveWorkedWith	ToolsTechWantToWorkWith	NEWCollabToolsHaveWorkedWith	NEWCollabToolsWantToWorkWith	OpSys	NEWStuck	NEWSOSites	SOVisitFreq	SOAccount	SOPartFreq	SOComm	NEWOtherComms	Age	Gender	Trans	Sexuality	Ethnicity	Accessibility	MentalHealth	SurveyLength	SurveyEase	ConvertedCompYearly
1219	1220	I am a developer by profession	Employed full-time	Pakistan			Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	5 - 10 years	Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification;Colleague	12	9	Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Student;DevOps specialist	100 to 499 employees	"PKR	Pakistani rupee"	185000.0	Monthly	Bash/Shell;C;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript	Bash/Shell;C;C#;C++;Go;Haskell;Java;JavaScript;Kotlin;Node.js;PHP;Python;SQL;TypeScript	MariaDB;MySQL;PostgreSQL	DynamoDB;PostgreSQL	AWS;DigitalOcean;Google Cloud Platform	AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure	Angular;Express;jQuery	Angular;Express;jQuery			Docker;Git;Kubernetes	Docker;Git;Kubernetes	Atom;Notepad++;PHPStorm;Visual Studio Code	Atom;Notepad++;PHPStorm;Visual Studio Code	Linux-based	Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Meditate;Play games	Stack Overflow;Stack Exchange	Multiple times per day	Yes	A few times per month or weekly	Yes, definitely	No	18-24 years old	Man	No		Southeast Asian;South Asian;Middle Eastern;East Asian		I have a concentration and/or memory disorder (e.g. ADHD)	Too long	Neither easy nor difficult	14400.0
1233	1234	I code primarily as a hobby	Independent contractor, freelancer, or self-employed	Pakistan			Some college/university study without earning a degree	11 - 17 years	Friend or family member	5		Developer, desktop or enterprise applications;Student;Developer, game or graphics					C#;C++;HTML/CSS;Java;JavaScript;Node.js;Python	HTML/CSS;JavaScript;Node.js	Redis	Redis	AWS;Google Cloud Platform;Microsoft Azure		Django;Flask		NumPy	NumPy			Notepad++;PyCharm	Notepad++;PyCharm	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	Multiple times per day	Yes	A few times per week	Yes, definitely	No	Under 18 years old	Man	No		Middle Eastern	None of the above	None of the above	Appropriate in length	Neither easy nor difficult	
1470	1471	I am a student who is learning to code	Student, full-time	Pakistan			Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	11 - 17 years	Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification	5							C#;Dart;HTML/CSS;JavaScript;PHP;Python	C#;C++;Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;Python	MariaDB;MySQL	Firebase;MariaDB;MySQL;PostgreSQL;SQLite			jQuery;Laravel;Symfony;Vue.js	jQuery;Laravel;React.js;Symfony;Vue.js	.NET Framework;.NET Core / .NET 5;Apache Spark;Flutter		Git;Unity 3D;Yarn	Docker;Git;Unity 3D;Unreal Engine;Yarn	Android Studio;Atom;IntelliJ;Notepad++;Visual Studio;Visual Studio Code	Notepad++;PHPStorm;Visual Studio;Visual Studio Code	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games;Panic;Visit another developer community (please name):	Stack Overflow;Stack Exchange	Multiple times per day	Yes	Less than once per month or monthly	Yes, somewhat	Yes	18-24 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	
1604	1605	I am a developer by profession	Independent contractor, freelancer, or self-employed	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	25 - 34 years	Other online resources (ex: videos, blogs, etc);School;Online Forum	10	10	Developer, mobile;Developer, full-stack;Developer, back-end;Designer;Product manager	2 to 9 employees	"USD	United States dollar"		Monthly	Java;Objective-C;Swift	Dart;Java;Kotlin;Objective-C;Swift	Firebase;MongoDB;MySQL	Firebase;MongoDB;MySQL	AWS	AWS;Heroku			Flutter;React Native	Flutter;React Native	Git	Git	Android Studio;Atom;Xcode	Android Studio;Atom;Xcode	MacOS	Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	Multiple times per day	Yes	A few times per month or weekly	Yes, definitely	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	
1810	1811	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Online Courses or Certification	5	Less than 1 year	Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end	1,000 to 4,999 employees	"PKR	Pakistani rupee"	103000.0	Monthly	Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Node.js;Python	Bash/Shell;C;C++;Python	Firebase;MySQL;Oracle	Firebase	DigitalOcean;Microsoft Azure	AWS;Google Cloud Platform;Microsoft Azure	Flask;Gatsby;React.js	Flask;Gatsby;React.js	NumPy;Pandas	Hadoop;Keras;NumPy;Pandas;TensorFlow	Git	Docker;Git	IPython/Jupyter;Notepad++;Visual Studio Code	IPython/Jupyter;Vim;Visual Studio Code	Windows	Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	A few times per month or weekly	Yes, somewhat	Yes	18-24 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	8016.0
1922	1923	I code primarily as a hobby	Student, full-time	Pakistan			Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	11 - 17 years	Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification								HTML/CSS;JavaScript;Python	HTML/CSS;JavaScript;Python	PostgreSQL;Redis;SQLite	Elasticsearch;PostgreSQL;Redis;SQLite	Heroku	AWS;DigitalOcean;Heroku	Django;Flask;React.js	Django;React.js	NumPy;Pandas	NumPy;Pandas;React Native	Docker;Git	Docker;Git;Kubernetes	Atom;IPython/Jupyter;Notepad++;PyCharm;Vim;Visual Studio Code	IPython/Jupyter;Vim;Visual Studio Code	Windows	Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games	Stack Overflow;Stack Exchange	Multiple times per day	Yes	A few times per week	Yes, somewhat	No	Under 18 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Neither easy nor difficult	
2086	2087	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other (please specify):	5	2	Developer, full-stack	2 to 9 employees	"PKR	Pakistani rupee"	100000.0	Monthly	HTML/CSS;JavaScript;PHP;SQL	JavaScript;Node.js	MongoDB;MySQL	Firebase;MongoDB;MySQL;PostgreSQL			Express;jQuery;Laravel;React.js	Express;jQuery;Laravel;React.js;Vue.js					Atom;Sublime Text;Visual Studio Code	Atom;Sublime Text;Visual Studio Code	Windows	Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	Multiple times per day	Yes	Less than once per month or monthly	Yes, definitely	No	18-24 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Neither easy nor difficult	7788.0
2172	2173	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc);School	6	3	Developer, front-end;Developer, full-stack;Developer, back-end	100 to 499 employees	"PKR	Pakistani rupee"	170000.0	Monthly	HTML/CSS;JavaScript;Python;SQL	Bash/Shell;Dart;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript	MySQL;PostgreSQL;Redis;SQLite	Elasticsearch;Firebase;MongoDB;PostgreSQL;Redis	AWS;DigitalOcean;Google Cloud Platform	AWS;Microsoft Azure	Django;jQuery;React.js;Vue.js	Django;Flask;React.js;Vue.js			Docker;Git;Yarn	Ansible;Docker;Git;Kubernetes;Yarn	Android Studio;Atom;PyCharm;Sublime Text;Visual Studio Code	PyCharm;Sublime Text	Linux-based	Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	A few times per month or weekly	Yes, somewhat	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Appropriate in length	Easy	13224.0
2301	2302	I am a student who is learning to code	Student, full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Other online resources (ex: videos, blogs, etc);School	3							Assembly;C;C++;Java;Kotlin;Node.js;PowerShell;SQL	C++;Java;JavaScript;Kotlin;Node.js;R;SQL	Firebase;Microsoft SQL Server;SQLite	Firebase;Microsoft SQL Server;SQLite	DigitalOcean;Google Cloud Platform	DigitalOcean;Google Cloud Platform;Microsoft Azure	Django;Express				Git	Git	Android Studio;Atom;Eclipse;IntelliJ;NetBeans;Notepad++;PHPStorm;PyCharm;Sublime Text;Visual Studio Code		Windows	Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos	Stack Overflow	Multiple times per day	Yes	A few times per week	Yes, somewhat	No	18-24 years old	Man	No	Prefer not to say	South Asian	None of the above	None of the above	Appropriate in length	Easy	
2316	2317	I used to be a developer by profession, but no longer am	Employed full-time	Pakistan			Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	11 - 17 years	School	12	10	Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Data or business analyst;Engineering manager					C;C#;JavaScript;Matlab;Objective-C;PHP;SQL;TypeScript;VBA	C#;Java;PHP;Python;SQL	MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite	Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis	AWS;DigitalOcean	AWS;Microsoft Azure	Angular;Angular.js;ASP.NET;ASP.NET Core ;Drupal;jQuery;Laravel;Symfony	Django;Laravel;Spring;Symfony	.NET Framework;.NET Core / .NET 5;NumPy	.NET Core / .NET 5;Hadoop	Git;Yarn	Docker;Git;Kubernetes	Android Studio;Atom;Eclipse;IntelliJ;NetBeans;Notepad++;PHPStorm;PyCharm;Rider;Visual Studio;Visual Studio Code;Webstorm	IntelliJ;PHPStorm;PyCharm;Rider;Webstorm	Windows	Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later	Stack Overflow;Stack Exchange	Multiple times per day	Yes	Multiple times per day	Yes, definitely	No	25-34 years old	Man			South Asian			Too long	Neither easy nor difficult	
2327	2328	I am a developer by profession	Employed full-time	Pakistan			Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	25 - 34 years	Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Colleague	5	4	Developer, full-stack	2 to 9 employees	"PKR	Pakistani rupee"	100000.0	Monthly	C++;HTML/CSS;JavaScript;PHP	Node.js;Python;Ruby;TypeScript	MariaDB;MySQL;SQLite	Firebase;MongoDB			Angular;Django;jQuery;React.js;Ruby on Rails	Angular;Django;Express;Flask;Laravel;React.js;Ruby on Rails;Vue.js			Git	Docker;Kubernetes	NetBeans;Notepad++;Visual Studio Code	Visual Studio Code	Windows	Visit Stack Overflow;Do other work and come back later	Stack Overflow	Multiple times per day	Yes	Less than once per month or monthly	Yes, definitely	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Too short	Easy	7788.0
2344	2345	I am a developer by profession	Employed full-time	Pakistan			Some college/university study without earning a degree	11 - 17 years	Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification	4	3	Developer, front-end;Developer, full-stack	100 to 499 employees	"PKR	Pakistani rupee"	156000.0	Monthly	HTML/CSS;JavaScript;Python	Dart;Go;HTML/CSS;JavaScript;Node.js;Python	DynamoDB	DynamoDB;Firebase;MongoDB;PostgreSQL;Redis;SQLite	AWS	AWS;Microsoft Azure	Gatsby;React.js;Svelte;Vue.js	Express;Gatsby;React.js;Svelte;Vue.js			Flow;Git	Docker;Flow;Git;Kubernetes;Terraform	Visual Studio Code	Visual Studio Code	Linux-based	Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	A few times per month or weekly	Yes, definitely	Yes	18-24 years old	Man	No	Straight / Heterosexual	South Asian;Middle Eastern	None of the above	None of the above	Appropriate in length	Easy	12144.0
2421	2422	I am a developer by profession	Student, part-time	Pakistan			Some college/university study without earning a degree	18 - 24 years	School								Assembly;C;C++;HTML/CSS;Java;JavaScript;Python;SQL	Dart;Node.js	MySQL;PostgreSQL;SQLite	MongoDB			Django;React.js				Git	Docker	Eclipse;PyCharm;Visual Studio Code;Webstorm		Linux-based	Visit Stack Overflow;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)	Daily or almost daily	Yes	A few times per month or weekly	Not sure	Yes	18-24 years old	Man	No	Bisexual	Middle Eastern;East Asian	None of the above	I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder)	Appropriate in length	Neither easy nor difficult	
2601	2602	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	18 - 24 years	Other online resources (ex: videos, blogs, etc)	6	2	Developer, back-end	10 to 19 employees	"PKR	Pakistani rupee"			HTML/CSS;JavaScript;PHP;SQL	Node.js;Python	Elasticsearch;MongoDB;MySQL	Firebase;MongoDB;MySQL			jQuery;Laravel	Django;jQuery;React.js			Git	Git	PHPStorm;Sublime Text;Visual Studio Code	IPython/Jupyter;PyCharm;Visual Studio Code	Windows	Go for a walk or other physical activity;Google it;Watch help / tutorial videos	Stack Overflow;Stack Exchange	A few times per week	Yes	Less than once per month or monthly	Yes, definitely	Yes	18-24 years old	Man	No	Straight / Heterosexual	Or, in your own words:	None of the above	None of the above	Appropriate in length	Neither easy nor difficult	
2652	2653	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	Other online resources (ex: videos, blogs, etc);School;Online Forum	10	3	Developer, front-end	100 to 499 employees	"PKR	Pakistani rupee"	104000.0	Monthly	C#;HTML/CSS;JavaScript;Kotlin;Node.js;PHP;Python;SQL;TypeScript	Go;HTML/CSS;JavaScript;Kotlin;Node.js;PHP;Python;SQL;TypeScript	MariaDB;MySQL;SQLite	Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite	Heroku	Heroku	jQuery;React.js	Express;Gatsby;jQuery;Laravel;React.js;Vue.js			Git;Unity 3D;Yarn	Docker;Git;Kubernetes;Unity 3D;Yarn	Android Studio;PHPStorm;Visual Studio;Visual Studio Code;Webstorm	Android Studio;PHPStorm;Visual Studio;Visual Studio Code;Webstorm;Xcode	Linux-based	Visit Stack Overflow;Google it	Stack Overflow	Multiple times per day	Yes	Daily or almost daily	Yes, somewhat	No	25-34 years old	Man	No	Straight / Heterosexual	South Asian	None of the above	None of the above	Too long	Easy	8088.0
2680	2681	I am a developer by profession	Employed full-time	Pakistan			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	11 - 17 years	School	8	5	Developer, full-stack;DevOps specialist	20 to 99 employees	"USD	United States dollar"	1200.0	Monthly	Bash/Shell;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript	Bash/Shell;JavaScript;Node.js;Python;SQL;TypeScript	Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis	MongoDB;MySQL;PostgreSQL;Redis	AWS;Google Cloud Platform;Heroku	AWS;Heroku;Microsoft Azure	Angular;Django;Express;jQuery;Laravel;Vue.js	Django;Express;Flask;React.js			Docker;Git;Kubernetes;Yarn	Ansible;Chef;Docker;Git;Kubernetes;Puppet;Terraform;Yarn	Vim;Visual Studio Code	Vim;Visual Studio Code	Linux-based	Visit Stack Overflow;Go for a walk or other physical activity;Google it	Stack Overflow	Multiple times per day	Yes	A few times per month or weekly	Yes, definitely	No	25-34 years old	Man		Straight / Heterosexual	East Asian	None of the above	None of the above	Appropriate in length	Easy	14400.0
