psl_year,match_number,team_1,team_2,inning,over,ball,runs,total_runs,wickets,is_four,is_six,is_wicket,wicket,wicket_text,result
2016,1,Islamabad United,Quetta Gladiators,1,4,4,0,12,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,4,5,0,12,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,4,6,0,12,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,5,1,1,13,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,5,2,0,13,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,5,3,0,13,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,5,4,6,19,0,FALSE,TRUE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,5,5,2,21,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,5,6,0,21,1,FALSE,FALSE,TRUE,1.0,caught,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,6,1,0,21,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,6,2,0,21,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,6,3,1,22,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,6,4,0,22,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,6,5,0,22,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,6,6,0,22,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,7,1,1,23,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,7,2,1,24,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,7,3,0,24,2,FALSE,FALSE,TRUE,1.0,caught,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,7,4,0,24,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,7,5,0,24,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,7,6,0,24,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,7,7,1,25,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,8,1,0,25,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,8,2,1,26,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,8,3,0,26,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,8,4,2,28,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,8,5,0,28,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,8,6,0,28,3,FALSE,FALSE,TRUE,2.0,bowled,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,9,1,0,28,3,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,9,2,1,29,3,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,9,3,1,30,3,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,9,4,1,31,3,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,9,5,0,31,3,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,9,6,1,32,3,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,10,1,0,32,4,FALSE,FALSE,TRUE,2.0,bowled,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,10,2,1,33,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,10,3,1,34,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,10,4,0,34,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,10,5,1,35,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,10,6,1,36,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,11,1,1,37,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,11,2,1,38,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,11,3,1,39,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,11,4,0,39,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,11,5,0,39,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,11,6,1,40,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,12,1,0,40,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,12,2,4,44,4,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,12,3,2,46,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,12,4,1,47,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,12,5,2,49,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,12,6,4,53,4,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,13,1,1,54,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,13,2,1,55,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,13,3,1,56,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,13,4,0,56,4,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,13,5,0,56,5,FALSE,FALSE,TRUE,1.0,caught,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,13,6,1,57,5,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,14,1,1,58,5,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,14,2,2,60,5,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,14,3,0,60,5,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,14,4,0,60,5,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,14,5,2,62,5,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,14,6,0,62,5,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,15,1,1,63,5,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,15,2,0,63,6,FALSE,FALSE,TRUE,1.0,caught,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,15,3,0,63,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,15,4,1,64,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,15,5,0,64,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,15,6,0,64,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,16,1,3,67,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,16,2,0,67,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,16,3,6,73,6,FALSE,TRUE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,16,4,1,74,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,16,5,0,74,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,16,6,1,75,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,16,7,2,77,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,17,1,0,77,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,17,2,1,78,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,17,3,1,79,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,17,4,1,80,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,17,5,0,80,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,17,6,6,86,6,FALSE,TRUE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,18,1,2,88,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,18,2,4,92,6,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,18,3,4,96,6,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,18,4,6,102,6,FALSE,TRUE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,18,5,4,106,6,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,18,6,0,106,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,19,1,4,110,6,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,19,2,4,114,6,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,19,3,0,114,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,19,4,1,115,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,19,5,4,119,6,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,19,6,1,120,6,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,19,7,0,120,7,FALSE,FALSE,TRUE,1.0,caught,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,19,8,1,121,7,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,20,1,1,122,7,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,20,2,0,122,7,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,20,3,2,124,7,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,20,4,0,124,7,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,20,5,0,124,7,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,1,20,6,4,128,7,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,1,1,0,0,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,1,2,0,0,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,1,3,0,0,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,1,4,2,2,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,1,5,0,2,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,1,6,4,6,0,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,2,1,1,7,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,2,2,0,7,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,2,3,4,11,0,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,2,4,1,12,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,2,5,4,16,0,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,2,6,4,20,0,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,3,1,6,26,0,FALSE,TRUE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,3,2,6,32,0,FALSE,TRUE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,3,3,1,33,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,3,4,0,33,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,3,5,2,35,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,3,6,0,35,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,4,1,4,39,0,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,4,2,4,43,0,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,4,3,2,45,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,4,4,4,49,0,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,4,5,4,53,0,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,4,6,0,53,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,5,1,0,53,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,5,2,0,53,0,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,5,3,0,53,1,FALSE,FALSE,TRUE,1.0,caught,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,5,4,0,53,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,5,5,1,54,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,5,6,0,54,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,6,1,1,55,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,6,2,0,55,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,6,3,1,56,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,6,4,0,56,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,6,5,0,56,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,6,6,1,57,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,6,7,1,58,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,7,1,1,59,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,7,2,1,60,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,7,3,1,61,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,7,4,0,61,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,7,5,1,62,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,7,6,0,62,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,8,1,1,63,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,8,2,1,64,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,8,3,2,66,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,8,4,0,66,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,8,5,1,67,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,8,6,1,68,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,8,7,0,68,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,9,1,4,72,1,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,9,2,0,72,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,9,3,1,73,1,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,9,4,0,73,2,FALSE,FALSE,TRUE,3.0,lbw,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,9,5,0,73,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,9,6,1,74,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,10,1,1,75,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,10,2,1,76,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,10,3,1,77,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,10,4,4,81,2,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,10,5,1,82,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,10,6,4,86,2,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,11,1,6,92,2,FALSE,TRUE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,11,2,1,93,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,11,3,0,93,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,11,4,1,94,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,11,5,0,94,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,11,6,1,95,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,12,1,1,96,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,12,2,1,97,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,12,3,0,97,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,12,4,0,97,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,12,5,1,98,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,12,6,2,100,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,13,1,0,100,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,13,2,4,104,2,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,13,3,1,105,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,13,4,0,105,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,13,5,0,105,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,13,6,1,106,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,14,1,0,106,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,14,2,1,107,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,14,3,2,109,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,14,4,0,109,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,14,5,1,110,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,14,6,4,114,2,TRUE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,14,7,0,114,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,15,1,1,115,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,15,2,0,115,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,15,3,1,116,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,15,4,0,116,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,15,5,2,118,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,15,6,1,119,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,16,1,2,121,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,16,2,1,122,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,16,3,6,128,2,FALSE,TRUE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,16,4,0,128,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,16,5,0,128,2,FALSE,FALSE,FALSE,,,Gladiators
2016,1,Islamabad United,Quetta Gladiators,2,16,6,4,132,2,TRUE,FALSE,FALSE,,,Gladiators
2016,2,Lahore Qalandars,Karachi Kings,1,1,1,2,2,0,FALSE,FALSE,FALSE,,,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,1,2,0,2,0,FALSE,FALSE,FALSE,,,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,1,3,4,6,0,TRUE,FALSE,FALSE,,,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,1,4,0,6,1,FALSE,FALSE,TRUE,1.0,caught,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,1,5,1,7,1,FALSE,FALSE,FALSE,,,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,1,6,0,7,1,FALSE,FALSE,FALSE,,,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,2,1,0,7,1,FALSE,FALSE,FALSE,,,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,2,2,0,7,1,FALSE,FALSE,FALSE,,,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,2,3,0,7,1,FALSE,FALSE,FALSE,,,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,2,4,0,7,1,FALSE,FALSE,FALSE,,,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,2,5,4,11,1,TRUE,FALSE,FALSE,,,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,2,6,0,11,1,FALSE,FALSE,FALSE,,,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,3,1,1,12,1,FALSE,FALSE,FALSE,,,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,3,2,1,13,1,FALSE,FALSE,FALSE,,,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,3,3,1,14,1,FALSE,FALSE,FALSE,,,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,3,4,1,15,1,FALSE,FALSE,FALSE,,,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,3,5,0,15,1,FALSE,FALSE,FALSE,,,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,3,6,2,17,1,FALSE,FALSE,FALSE,,,Kings
2016,2,Lahore Qalandars,Karachi Kings,1,3,7,1,18,1,FALSE,FALSE,FALSE,,,Kings
