temperature,rainfall,humidity,yeild_apples
69.00,60.00,85.00,75.20
66.00,26.00,35.00,42.50
94.00,81.00,79.00,83.90
29.00,71.00,65.00,55.40
23.00,97.00,21.00,36.80
74.00,64.00,85.00,77.50
39.00,86.00,76.00,66.90
22.00,83.00,52.00,49.20
32.00,21.00,59.00,43.30
37.00,87.00,61.00,59.00
29.00,85.00,64.00,57.70
94.00,72.00,48.00,66.60
85.00,83.00,73.00,78.60
48.00,65.00,25.00,39.90
50.00,91.00,77.00,71.70
23.00,36.00,40.00,34.10
46.00,72.00,51.00,53.70
90.00,68.00,95.00,88.10
47.00,58.00,32.00,41.70
80.00,85.00,85.00,83.50
73.00,76.00,36.00,55.10
26.00,89.00,95.00,73.10
84.00,27.00,37.00,49.10
55.00,37.00,57.00,52.40
41.00,97.00,59.00,61.20
30.00,21.00,41.00,33.70
24.00,62.00,32.00,35.60
73.00,58.00,73.00,70.00
57.00,82.00,67.00,67.00
66.00,30.00,60.00,55.80
36.00,87.00,41.00,48.70
96.00,25.00,86.00,76.80
45.00,89.00,20.00,41.30
46.00,72.00,64.00,60.20
77.00,77.00,75.00,76.00
29.00,65.00,62.00,52.70
80.00,44.00,90.00,77.80
43.00,25.00,94.00,64.90
55.00,86.00,76.00,71.70
45.00,53.00,77.00,62.60
35.00,85.00,38.00,46.50
63.00,38.00,22.00,37.50
36.00,87.00,59.00,57.70
92.00,22.00,32.00,48.00
100.00,58.00,90.00,86.60
31.00,98.00,78.00,67.90
86.00,21.00,82.00,71.00
35.00,56.00,60.00,51.70
63.00,37.00,81.00,66.80
45.00,89.00,80.00,71.30
43.00,59.00,61.00,55.20
40.00,47.00,54.00,48.40
83.00,35.00,68.00,65.90
89.00,75.00,55.00,69.20
80.00,52.00,91.00,79.90
100.00,34.00,60.00,66.80
84.00,61.00,31.00,52.90
72.00,46.00,45.00,53.30
95.00,29.00,77.00,72.80
81.00,36.00,28.00,45.50
55.00,65.00,29.00,44.00
60.00,35.00,40.00,45.00
48.00,76.00,85.00,72.10
82.00,91.00,95.00,90.30
48.00,24.00,45.00,41.70
98.00,42.00,28.00,51.80
76.00,81.00,31.00,54.50
93.00,91.00,88.00,90.10
84.00,48.00,57.00,63.30
73.00,48.00,64.00,63.50
55.00,37.00,46.00,46.90
74.00,92.00,90.00,85.60
23.00,44.00,90.00,60.70
52.00,86.00,41.00,53.30
76.00,79.00,25.00,51.10
51.00,22.00,86.00,62.70
25.00,77.00,78.00,61.90
94.00,65.00,74.00,78.20
39.00,32.00,29.00,32.60
87.00,86.00,100.00,93.30
51.00,70.00,29.00,43.80
40.00,40.00,75.00,57.50
37.00,55.00,69.00,56.60
57.00,28.00,25.00,35.20
65.00,63.00,51.00,57.60
42.00,77.00,71.00,63.50
64.00,83.00,72.00,71.80
61.00,80.00,36.00,52.30
98.00,89.00,50.00,72.20
66.00,86.00,77.00,75.50
35.00,76.00,96.00,73.70
30.00,57.00,38.00,39.40
38.00,97.00,98.00,79.80
100.00,73.00,22.00,55.60
20.00,97.00,79.00,64.90
51.00,66.00,100.00,78.50
33.00,62.00,31.00,37.80
58.00,41.00,37.00,44.10
35.00,95.00,25.00,42.00
77.00,34.00,64.00,61.90
49.00,48.00,86.00,67.30
61.00,28.00,55.00,51.40
27.00,55.00,86.00,62.10
67.00,69.00,23.00,45.40
55.00,79.00,79.00,71.80
25.00,98.00,72.00,63.10
27.00,60.00,40.00,40.10
40.00,93.00,82.00,71.60
33.00,58.00,75.00,59.00
85.00,95.00,73.00,81.00
79.00,50.00,47.00,57.20
79.00,21.00,22.00,38.90
39.00,22.00,76.00,54.10
25.00,85.00,78.00,63.50
81.00,96.00,63.00,75.00
90.00,76.00,61.00,72.70
58.00,31.00,27.00,37.10
49.00,40.00,34.00,39.70
60.00,35.00,43.00,46.50
63.00,85.00,56.00,63.90
28.00,32.00,28.00,28.80
46.00,54.00,57.00,53.10
36.00,52.00,96.00,69.20
82.00,74.00,44.00,61.40
48.00,35.00,35.00,38.90
96.00,30.00,25.00,47.30
65.00,83.00,77.00,74.60
80.00,63.00,51.00,62.10
85.00,96.00,78.00,83.70
83.00,42.00,83.00,74.80
84.00,25.00,72.00,66.20
54.00,60.00,80.00,68.20
62.00,70.00,97.00,81.10
79.00,63.00,57.00,64.80
58.00,81.00,43.00,55.10
30.00,40.00,72.00,53.00
86.00,89.00,23.00,55.10
80.00,35.00,49.00,55.50
69.00,60.00,85.00,75.20
42.00,48.00,94.00,69.20
36.00,99.00,49.00,55.10
58.00,98.00,22.00,48.00
56.00,90.00,91.00,80.30
57.00,95.00,88.00,80.10
21.00,30.00,30.00,27.30
80.00,86.00,80.00,81.20
21.00,80.00,83.00,63.80
92.00,28.00,89.00,77.70
78.00,51.00,29.00,48.10
38.00,32.00,36.00,35.80
90.00,81.00,58.00,72.20
56.00,30.00,72.00,58.80
44.00,26.00,21.00,28.90
68.00,99.00,35.00,57.70
55.00,24.00,63.00,52.80
45.00,27.00,45.00,41.40
30.00,28.00,51.00,40.10
71.00,65.00,45.00,56.80
52.00,76.00,22.00,41.80
68.00,40.00,86.00,71.40
76.00,35.00,57.00,58.30
60.00,70.00,32.00,48.00
41.00,59.00,21.00,34.60
83.00,40.00,21.00,43.40
99.00,61.00,53.00,68.40
71.00,72.00,95.00,83.20
49.00,68.00,86.00,71.30
21.00,96.00,79.00,65.00
47.00,31.00,51.00,45.80
90.00,69.00,100.00,90.80
34.00,71.00,26.00,37.40
68.00,81.00,71.00,72.10
22.00,33.00,64.00,45.20
54.00,61.00,35.00,45.90
67.00,41.00,45.00,50.80
94.00,81.00,20.00,54.40
91.00,99.00,66.00,80.10
57.00,25.00,95.00,69.60
38.00,66.00,65.00,57.10
73.00,47.00,45.00,53.80
83.00,52.00,54.00,62.30
41.00,36.00,44.00,41.50
88.00,82.00,27.00,56.30
43.00,47.00,28.00,36.30
23.00,24.00,94.00,58.70
26.00,98.00,31.00,42.90
81.00,44.00,24.00,45.10
53.00,96.00,72.00,71.10
30.00,84.00,91.00,71.30
29.00,42.00,41.00,37.60
61.00,27.00,66.00,56.70
47.00,82.00,24.00,42.50
25.00,63.00,98.00,69.10
54.00,65.00,73.00,65.70
54.00,79.00,71.00,67.50
98.00,78.00,94.00,92.00
35.00,41.00,53.00,45.20
56.00,22.00,26.00,34.20
86.00,30.00,99.00,81.30
76.00,23.00,96.00,75.40
64.00,90.00,80.00,77.20
42.00,99.00,46.00,55.40
47.00,66.00,31.00,42.80
72.00,78.00,73.00,73.70
34.00,33.00,99.00,66.30
67.00,74.00,51.00,60.40
64.00,94.00,35.00,55.50
42.00,87.00,52.00,56.00
89.00,81.00,74.00,79.90
92.00,90.00,93.00,92.10
86.00,64.00,99.00,88.10
76.00,20.00,68.00,60.80
95.00,69.00,42.00,63.30
53.00,77.00,46.00,54.30
45.00,34.00,83.00,61.80
54.00,66.00,30.00,44.40
36.00,34.00,25.00,30.10
65.00,96.00,23.00,50.20
78.00,93.00,95.00,89.50
50.00,35.00,66.00,55.00
94.00,35.00,67.00,68.70
77.00,76.00,57.00,66.80
95.00,61.00,66.00,73.70
99.00,96.00,97.00,97.40
20.00,28.00,37.00,30.10
70.00,25.00,34.00,43.00
20.00,74.00,57.00,49.30
26.00,39.00,53.00,42.10
65.00,74.00,93.00,80.80
54.00,83.00,98.00,81.80
26.00,25.00,88.00,56.80
69.00,80.00,41.00,57.20
41.00,75.00,93.00,73.80
68.00,64.00,99.00,82.70
88.00,66.00,90.00,84.60
81.00,88.00,39.00,61.40
65.00,34.00,32.00,42.30
85.00,59.00,38.00,56.30
34.00,83.00,67.00,60.30
92.00,22.00,47.00,55.50
92.00,59.00,78.00,78.40
72.00,25.00,66.00,59.60
94.00,68.00,25.00,54.30
65.00,82.00,91.00,81.40
65.00,96.00,48.00,62.70
29.00,54.00,24.00,31.50
68.00,52.00,60.00,60.80
57.00,71.00,85.00,73.80
72.00,95.00,52.00,66.60
39.00,21.00,27.00,29.40
39.00,54.00,37.00,41.00
77.00,32.00,45.00,52.00
89.00,88.00,45.00,66.80
36.00,97.00,21.00,40.70
26.00,78.00,46.00,46.40
73.00,96.00,87.00,84.60
23.00,45.00,72.00,51.90
69.00,43.00,34.00,46.30
85.00,55.00,96.00,84.50
81.00,97.00,75.00,81.20
68.00,72.00,85.00,77.30
21.00,22.00,64.00,42.70
50.00,22.00,95.00,66.90
53.00,93.00,28.00,48.50
85.00,100.00,32.00,61.50
56.00,58.00,47.00,51.90
42.00,61.00,44.00,46.80
56.00,82.00,38.00,52.20
96.00,43.00,59.00,66.90
46.00,75.00,56.00,56.80
76.00,21.00,71.00,62.50
89.00,72.00,32.00,57.10
45.00,72.00,90.00,72.90
47.00,95.00,79.00,72.60
98.00,50.00,31.00,54.90
69.00,32.00,54.00,54.10
49.00,32.00,59.00,50.60
76.00,48.00,64.00,64.40
76.00,51.00,62.00,64.00
34.00,71.00,49.00,48.90
71.00,34.00,83.00,69.60
22.00,48.00,86.00,59.20
84.00,78.00,73.00,77.30
24.00,93.00,24.00,37.80
37.00,81.00,82.00,68.30
49.00,77.00,82.00,71.10
88.00,72.00,97.00,89.30
32.00,46.00,80.00,58.80
82.00,85.00,63.00,73.10
39.00,45.00,99.00,70.20
37.00,92.00,26.00,42.50
99.00,26.00,94.00,81.90
60.00,85.00,29.00,49.50
75.00,93.00,78.00,80.10
34.00,40.00,42.00,39.20
81.00,52.00,33.00,51.20
70.00,44.00,91.00,75.30
88.00,55.00,96.00,85.40
42.00,51.00,25.00,35.30
26.00,57.00,29.00,33.70
74.00,68.00,70.00,70.80
37.00,63.00,79.00,63.20
48.00,73.00,22.00,40.00
97.00,92.00,59.00,77.00
99.00,62.00,96.00,90.10
24.00,75.00,60.00,52.20
52.00,80.00,36.00,49.60
29.00,75.00,92.00,69.70
47.00,39.00,74.00,58.90
34.00,35.00,86.00,60.20
52.00,51.00,25.00,38.30
93.00,42.00,78.00,75.30
81.00,100.00,45.00,66.80
100.00,80.00,26.00,59.00
63.00,48.00,61.00,59.00
48.00,51.00,47.00,48.10
27.00,73.00,78.00,61.70
60.00,98.00,95.00,85.10
78.00,79.00,22.00,50.20
99.00,30.00,42.00,56.70
91.00,27.00,71.00,68.20
85.00,95.00,20.00,54.50
51.00,90.00,39.00,52.80
37.00,67.00,96.00,72.50
46.00,94.00,24.00,44.60
51.00,99.00,37.00,53.60
76.00,39.00,63.00,62.10
74.00,70.00,20.00,46.20
53.00,88.00,26.00,46.50
95.00,69.00,90.00,87.30
64.00,38.00,64.00,58.80
68.00,88.00,22.00,49.00
79.00,55.00,66.00,67.70
87.00,39.00,63.00,65.40
85.00,100.00,90.00,90.50
84.00,40.00,52.00,59.20
55.00,70.00,48.00,54.50
47.00,79.00,57.00,58.40
59.00,52.00,56.00,56.10
84.00,83.00,43.00,63.30
27.00,71.00,70.00,57.30
85.00,81.00,75.00,79.20
40.00,52.00,36.00,40.40
58.00,26.00,84.00,64.60
64.00,92.00,59.00,67.10
63.00,68.00,78.00,71.50
79.00,46.00,73.00,69.40
51.00,68.00,24.00,40.90
54.00,63.00,69.00,63.30
75.00,61.00,68.00,68.70
30.00,48.00,33.00,35.10
96.00,65.00,87.00,85.30
43.00,69.00,48.00,50.70
55.00,87.00,42.00,54.90
88.00,59.00,33.00,54.70
57.00,75.00,91.00,77.60
43.00,59.00,56.00,52.70
88.00,100.00,76.00,84.40
24.00,31.00,62.00,44.40
26.00,37.00,68.00,49.20
73.00,36.00,77.00,67.60
70.00,43.00,79.00,69.10
29.00,91.00,93.00,73.40
49.00,66.00,28.00,41.90
53.00,53.00,85.00,69.00
35.00,28.00,73.00,52.60
94.00,83.00,59.00,74.30
24.00,47.00,39.00,36.10
88.00,43.00,78.00,74.00
28.00,25.00,76.00,51.40
53.00,87.00,30.00,48.30
36.00,55.00,46.00,44.80
27.00,66.00,46.00,44.30
39.00,34.00,55.00,46.00
40.00,43.00,47.00,44.10
34.00,68.00,49.00,48.30
97.00,42.00,26.00,50.50
53.00,54.00,87.00,70.20
51.00,84.00,36.00,50.10
74.00,65.00,94.00,82.20
87.00,44.00,54.00,61.90
42.00,55.00,66.00,56.60
83.00,86.00,37.00,60.60
30.00,50.00,46.00,42.00
36.00,75.00,77.00,64.30
51.00,57.00,20.00,36.70
98.00,35.00,73.00,72.90
66.00,29.00,73.00,62.10
48.00,80.00,41.00,50.90
90.00,83.00,63.00,75.10
52.00,46.00,60.00,54.80
61.00,75.00,75.00,70.80
44.00,34.00,32.00,36.00
69.00,32.00,35.00,44.60
35.00,45.00,36.00,37.50
81.00,65.00,33.00,53.80
21.00,44.00,86.00,58.10
90.00,81.00,83.00,84.70
41.00,86.00,52.00,55.50
35.00,79.00,22.00,37.30
38.00,46.00,94.00,67.60
99.00,35.00,83.00,78.20
48.00,54.00,97.00,73.70
98.00,54.00,34.00,57.20
49.00,62.00,52.00,53.10
28.00,72.00,84.00,64.80
39.00,58.00,66.00,56.30
62.00,59.00,74.00,67.40
49.00,60.00,26.00,39.70
90.00,90.00,47.00,68.50
40.00,32.00,49.00,42.90
62.00,75.00,72.00,69.60
21.00,34.00,32.00,29.10
85.00,38.00,75.00,70.60
81.00,70.00,43.00,59.80
42.00,80.00,69.00,63.10
39.00,21.00,92.00,61.90
94.00,96.00,99.00,96.90
43.00,55.00,42.00,44.90
41.00,85.00,41.00,49.80
57.00,95.00,56.00,64.10
64.00,21.00,20.00,33.40
48.00,23.00,29.00,33.50
43.00,29.00,86.00,61.70
100.00,60.00,50.00,67.00
42.00,27.00,83.00,59.50
42.00,99.00,27.00,45.90
99.00,39.00,88.00,81.50
61.00,20.00,95.00,69.80
64.00,60.00,75.00,68.70
100.00,60.00,27.00,55.50
84.00,35.00,76.00,70.20
75.00,32.00,97.00,77.40
67.00,97.00,96.00,87.50
22.00,24.00,34.00,28.40
37.00,76.00,92.00,72.30
49.00,64.00,83.00,69.00
38.00,22.00,60.00,45.80
81.00,45.00,100.00,83.30
25.00,85.00,77.00,63.00
96.00,66.00,93.00,88.50
74.00,84.00,38.00,58.00
24.00,62.00,22.00,30.60
43.00,24.00,34.00,34.70
92.00,47.00,34.00,54.00
50.00,70.00,60.00,59.00
45.00,86.00,65.00,63.20
35.00,40.00,65.00,51.00
44.00,100.00,63.00,64.70
28.00,42.00,21.00,27.30
52.00,65.00,68.00,62.60
32.00,88.00,89.00,71.70
70.00,55.00,97.00,80.50
55.00,90.00,75.00,72.00
71.00,66.00,39.00,54.00
24.00,51.00,27.00,30.90
83.00,53.00,89.00,80.00
89.00,33.00,38.00,52.30
61.00,71.00,56.00,60.50
65.00,46.00,69.00,63.20
90.00,25.00,90.00,77.00
56.00,66.00,32.00,46.00
20.00,33.00,71.00,48.10
60.00,36.00,23.00,36.70
29.00,30.00,22.00,25.70
61.00,26.00,44.00,45.50
81.00,80.00,57.00,68.80
84.00,32.00,96.00,79.60
27.00,53.00,28.00,32.70
92.00,85.00,89.00,89.10
68.00,63.00,21.00,43.50
22.00,73.00,40.00,41.20
54.00,29.00,93.00,68.50
38.00,23.00,60.00,46.00
43.00,73.00,92.00,73.50
59.00,90.00,31.00,51.20
80.00,57.00,69.00,69.90
72.00,81.00,78.00,76.80
22.00,44.00,61.00,45.90
74.00,82.00,22.00,49.60
69.00,91.00,98.00,87.90
22.00,90.00,37.00,43.10
63.00,33.00,23.00,37.00
62.00,61.00,62.00,61.80
33.00,44.00,87.00,62.20
73.00,53.00,22.00,43.50
76.00,88.00,99.00,89.90
43.00,56.00,77.00,62.60
75.00,83.00,82.00,80.10
32.00,77.00,49.00,49.50
81.00,66.00,29.00,52.00
94.00,51.00,42.00,59.40
35.00,57.00,82.00,62.90
64.00,70.00,60.00,63.20
71.00,30.00,99.00,76.80
30.00,93.00,23.00,39.10
24.00,98.00,90.00,71.80
85.00,89.00,78.00,82.30
28.00,78.00,53.00,50.50
38.00,30.00,27.00,30.90
63.00,70.00,20.00,42.90
100.00,45.00,87.00,82.50
72.00,27.00,81.00,67.50
31.00,97.00,47.00,52.20
21.00,85.00,66.00,56.30
100.00,34.00,44.00,58.80
28.00,89.00,25.00,38.70
38.00,84.00,44.00,50.20
47.00,26.00,45.00,41.80
33.00,70.00,33.00,40.40
35.00,77.00,75.00,63.40
32.00,75.00,85.00,67.10
96.00,74.00,68.00,77.60
51.00,66.00,35.00,46.00
46.00,25.00,86.00,61.80
31.00,39.00,79.00,56.60
26.00,92.00,38.00,45.20
54.00,57.00,50.00,52.60
95.00,39.00,22.00,47.30
74.00,56.00,32.00,49.40
99.00,57.00,86.00,84.10
26.00,22.00,33.00,28.70
87.00,61.00,81.00,78.80
41.00,97.00,40.00,51.70
97.00,67.00,49.00,67.00
99.00,41.00,51.00,63.40
73.00,21.00,56.00,54.10
44.00,22.00,27.00,31.10
53.00,72.00,26.00,43.30
34.00,27.00,95.00,63.10
80.00,49.00,40.00,53.80
93.00,75.00,69.00,77.40
25.00,94.00,90.00,71.30
100.00,31.00,20.00,46.20
57.00,75.00,60.00,62.10
80.00,89.00,74.00,78.80
69.00,38.00,72.00,64.30
50.00,70.00,66.00,62.00
68.00,100.00,55.00,67.90
79.00,58.00,79.00,74.80
86.00,44.00,32.00,50.60
37.00,67.00,98.00,73.50
82.00,65.00,35.00,55.10
32.00,45.00,49.00,43.10
76.00,62.00,30.00,50.20
68.00,35.00,23.00,38.90
60.00,96.00,24.00,49.20
73.00,81.00,27.00,51.60
22.00,49.00,48.00,40.40
29.00,97.00,59.00,57.60
44.00,41.00,61.00,51.90
86.00,97.00,73.00,81.70
67.00,23.00,79.00,64.20
72.00,55.00,52.00,58.60
60.00,21.00,34.00,39.20
86.00,79.00,99.00,91.10
37.00,33.00,60.00,47.70
25.00,68.00,52.00,47.10
86.00,29.00,31.00,47.10
67.00,48.00,32.00,45.70
87.00,63.00,64.00,70.70
20.00,75.00,65.00,53.50
94.00,53.00,45.00,61.30
35.00,28.00,64.00,48.10
69.00,21.00,60.00,54.90
68.00,82.00,33.00,53.30
92.00,32.00,42.00,55.00
65.00,61.00,67.00,65.20
86.00,82.00,67.00,75.70
39.00,95.00,39.00,50.20
76.00,79.00,27.00,52.10
58.00,38.00,83.00,66.50
22.00,55.00,76.00,55.60
59.00,93.00,75.00,73.80
72.00,88.00,36.00,57.20
67.00,60.00,98.00,81.10
71.00,46.00,76.00,68.50
63.00,72.00,97.00,81.80
40.00,37.00,33.00,35.90
51.00,72.00,26.00,42.70
91.00,53.00,93.00,84.40
99.00,66.00,83.00,84.40
23.00,75.00,37.00,40.40
21.00,65.00,27.00,32.80
25.00,57.00,61.00,49.40
89.00,33.00,30.00,48.30
88.00,69.00,51.00,65.70
27.00,72.00,63.00,54.00
68.00,24.00,93.00,71.70
80.00,80.00,33.00,56.50
98.00,30.00,33.00,51.90
87.00,26.00,76.00,69.30
51.00,40.00,28.00,37.30
72.00,57.00,82.00,74.00
23.00,61.00,54.00,46.10
25.00,77.00,62.00,53.90
95.00,86.00,55.00,73.20
50.00,29.00,99.00,70.30
85.00,32.00,72.00,67.90
57.00,63.00,59.00,59.20
73.00,99.00,92.00,87.70
31.00,32.00,49.00,40.20
50.00,94.00,30.00,48.80
71.00,94.00,33.00,56.60
24.00,80.00,48.00,47.20
95.00,63.00,88.00,85.10
21.00,99.00,55.00,53.60
36.00,34.00,89.00,62.10
59.00,33.00,28.00,38.30
51.00,23.00,85.00,62.40
76.00,50.00,79.00,72.30
37.00,69.00,34.00,41.90
33.00,33.00,36.00,34.50
43.00,25.00,87.00,61.40
53.00,23.00,75.00,58.00
42.00,44.00,33.00,37.90
88.00,83.00,53.00,69.50
88.00,38.00,34.00,51.00
55.00,72.00,22.00,41.90
90.00,48.00,94.00,83.60
33.00,86.00,58.00,56.10
80.00,91.00,38.00,61.20
46.00,46.00,36.00,41.00
44.00,29.00,60.00,49.00
83.00,80.00,48.00,64.90
42.00,86.00,47.00,53.30
35.00,58.00,44.00,44.10
81.00,43.00,20.00,42.90
55.00,45.00,49.00,50.00
87.00,28.00,24.00,43.70
31.00,78.00,58.00,53.90
45.00,38.00,29.00,35.60
95.00,52.00,77.00,77.40
63.00,32.00,96.00,73.30
40.00,33.00,58.00,47.60
46.00,91.00,63.00,63.50
80.00,33.00,74.00,67.60
41.00,41.00,39.00,40.00
42.00,96.00,48.00,55.80
41.00,61.00,57.00,53.00
22.00,37.00,90.00,59.00
90.00,64.00,35.00,57.30
81.00,24.00,60.00,59.10
52.00,56.00,34.00,43.80
80.00,32.00,69.00,64.90
86.00,35.00,70.00,67.80
35.00,97.00,65.00,62.40
26.00,30.00,96.00,61.80
60.00,89.00,76.00,73.80
28.00,22.00,93.00,59.30
48.00,93.00,71.00,68.50
40.00,63.00,29.00,39.10
98.00,75.00,58.00,73.40
99.00,97.00,38.00,68.10
45.00,83.00,71.00,65.60
61.00,29.00,100.00,74.10
30.00,36.00,55.00,43.70
49.00,47.00,46.00,47.10
96.00,83.00,58.00,74.40
33.00,51.00,26.00,33.10
52.00,77.00,23.00,42.50
85.00,65.00,28.00,52.50
84.00,51.00,25.00,47.90
51.00,31.00,96.00,69.50
88.00,46.00,35.00,53.10
43.00,59.00,60.00,54.70
30.00,51.00,61.00,49.70
48.00,80.00,42.00,51.40
80.00,66.00,38.00,56.20
73.00,88.00,57.00,68.00
42.00,53.00,74.00,60.20
35.00,40.00,61.00,49.00
26.00,87.00,36.00,43.20
96.00,95.00,34.00,64.80
41.00,58.00,84.00,65.90
99.00,45.00,56.00,66.70
80.00,54.00,75.00,72.30
32.00,81.00,38.00,44.80
65.00,33.00,77.00,64.60
47.00,83.00,26.00,43.70
28.00,62.00,40.00,40.80
59.00,97.00,88.00,81.10
30.00,89.00,29.00,41.30
25.00,23.00,56.00,40.10
44.00,55.00,74.00,61.20
72.00,99.00,92.00,87.40
100.00,49.00,48.00,63.80
96.00,87.00,46.00,69.20
22.00,80.00,47.00,46.10
46.00,49.00,37.00,42.10
58.00,20.00,65.00,53.90
32.00,77.00,87.00,68.50
39.00,20.00,93.00,62.20
38.00,22.00,97.00,64.30
89.00,79.00,88.00,86.50
69.00,90.00,67.00,72.20
84.00,89.00,79.00,82.50
27.00,79.00,100.00,73.90
66.00,88.00,52.00,63.40
45.00,37.00,25.00,33.40
49.00,58.00,40.00,46.30
51.00,100.00,98.00,84.30
91.00,46.00,79.00,76.00
32.00,88.00,93.00,73.70
83.00,97.00,89.00,88.80
79.00,93.00,26.00,55.30
51.00,98.00,20.00,44.90
27.00,27.00,46.00,36.50
42.00,87.00,77.00,68.50
35.00,95.00,46.00,52.50
89.00,40.00,67.00,68.20
37.00,42.00,47.00,43.00
35.00,77.00,51.00,51.40
42.00,40.00,64.00,52.60
28.00,64.00,35.00,38.70
100.00,89.00,94.00,94.80
