temperature,rainfall,humidity
91.00,99.00,66.00
57.00,25.00,95.00
38.00,66.00,65.00
73.00,47.00,45.00
83.00,52.00,54.00
41.00,36.00,44.00
88.00,82.00,27.00
43.00,47.00,28.00
23.00,24.00,94.00
26.00,98.00,31.00
81.00,44.00,24.00
53.00,96.00,72.00
30.00,84.00,91.00
29.00,42.00,41.00
61.00,27.00,66.00
47.00,82.00,24.00
25.00,63.00,98.00
54.00,65.00,73.00
54.00,79.00,71.00
98.00,78.00,94.00
35.00,41.00,53.00
56.00,22.00,26.00
86.00,30.00,99.00
76.00,23.00,96.00
64.00,90.00,80.00
42.00,99.00,46.00
47.00,66.00,31.00
72.00,78.00,73.00
34.00,33.00,99.00
67.00,74.00,51.00
64.00,94.00,35.00
42.00,87.00,52.00
89.00,81.00,74.00
92.00,90.00,93.00
86.00,64.00,99.00
76.00,20.00,68.00
95.00,69.00,42.00
53.00,77.00,46.00
45.00,34.00,83.00
54.00,66.00,30.00
36.00,34.00,25.00
65.00,96.00,23.00
78.00,93.00,95.00
50.00,35.00,66.00
94.00,35.00,67.00
77.00,76.00,57.00
95.00,61.00,66.00
99.00,96.00,97.00
20.00,28.00,37.00
70.00,25.00,34.00
20.00,74.00,57.00
26.00,39.00,53.00
65.00,74.00,93.00
54.00,83.00,98.00
26.00,25.00,88.00
69.00,80.00,41.00
41.00,75.00,93.00
68.00,64.00,99.00
88.00,66.00,90.00
81.00,88.00,39.00
65.00,34.00,32.00
85.00,59.00,38.00
34.00,83.00,67.00
92.00,22.00,47.00
92.00,59.00,78.00
72.00,25.00,66.00
94.00,68.00,25.00
65.00,82.00,91.00
65.00,96.00,48.00
29.00,54.00,24.00
68.00,52.00,60.00
57.00,71.00,85.00
72.00,95.00,52.00
39.00,21.00,27.00
39.00,54.00,37.00
77.00,32.00,45.00
89.00,88.00,45.00
36.00,97.00,21.00
26.00,78.00,46.00
73.00,96.00,87.00
23.00,45.00,72.00
69.00,43.00,34.00
85.00,55.00,96.00
81.00,97.00,75.00
68.00,72.00,85.00
21.00,22.00,64.00
50.00,22.00,95.00
53.00,93.00,28.00
85.00,100.00,32.00
56.00,58.00,47.00
42.00,61.00,44.00
56.00,82.00,38.00
96.00,43.00,59.00
46.00,75.00,56.00
76.00,21.00,71.00
89.00,72.00,32.00
45.00,72.00,90.00
47.00,95.00,79.00
98.00,50.00,31.00
69.00,32.00,54.00
49.00,32.00,59.00
76.00,48.00,64.00
76.00,51.00,62.00
34.00,71.00,49.00
71.00,34.00,83.00
22.00,48.00,86.00
84.00,78.00,73.00
24.00,93.00,24.00
37.00,81.00,82.00
49.00,77.00,82.00
88.00,72.00,97.00
32.00,46.00,80.00
82.00,85.00,63.00
39.00,45.00,99.00
37.00,92.00,26.00
99.00,26.00,94.00
60.00,85.00,29.00
75.00,93.00,78.00
34.00,40.00,42.00
81.00,52.00,33.00
70.00,44.00,91.00
88.00,55.00,96.00
42.00,51.00,25.00
26.00,57.00,29.00
74.00,68.00,70.00
37.00,63.00,79.00
48.00,73.00,22.00
97.00,92.00,59.00
99.00,62.00,96.00
24.00,75.00,60.00
52.00,80.00,36.00
29.00,75.00,92.00
47.00,39.00,74.00
34.00,35.00,86.00
52.00,51.00,25.00
93.00,42.00,78.00
81.00,100.00,45.00
100.00,80.00,26.00
63.00,48.00,61.00
48.00,51.00,47.00
27.00,73.00,78.00
60.00,98.00,95.00
78.00,79.00,22.00
99.00,30.00,42.00
91.00,27.00,71.00
85.00,95.00,20.00
51.00,90.00,39.00
37.00,67.00,96.00
46.00,94.00,24.00
51.00,99.00,37.00
76.00,39.00,63.00
74.00,70.00,20.00
53.00,88.00,26.00
95.00,69.00,90.00
64.00,38.00,64.00
68.00,88.00,22.00
79.00,55.00,66.00
87.00,39.00,63.00
85.00,100.00,90.00
84.00,40.00,52.00
55.00,70.00,48.00
47.00,79.00,57.00
59.00,52.00,56.00
84.00,83.00,43.00
27.00,71.00,70.00
85.00,81.00,75.00
40.00,52.00,36.00
58.00,26.00,84.00
64.00,92.00,59.00
63.00,68.00,78.00
79.00,46.00,73.00
51.00,68.00,24.00
54.00,63.00,69.00
75.00,61.00,68.00
30.00,48.00,33.00
96.00,65.00,87.00
43.00,69.00,48.00
55.00,87.00,42.00
88.00,59.00,33.00
57.00,75.00,91.00
43.00,59.00,56.00
88.00,100.00,76.00
24.00,31.00,62.00
26.00,37.00,68.00
73.00,36.00,77.00
70.00,43.00,79.00
29.00,91.00,93.00
49.00,66.00,28.00
53.00,53.00,85.00
35.00,28.00,73.00
94.00,83.00,59.00
24.00,47.00,39.00
88.00,43.00,78.00
28.00,25.00,76.00
53.00,87.00,30.00
36.00,55.00,46.00
27.00,66.00,46.00
39.00,34.00,55.00
40.00,43.00,47.00
34.00,68.00,49.00
97.00,42.00,26.00
53.00,54.00,87.00
51.00,84.00,36.00
74.00,65.00,94.00
87.00,44.00,54.00
42.00,55.00,66.00
83.00,86.00,37.00
30.00,50.00,46.00
36.00,75.00,77.00
51.00,57.00,20.00
98.00,35.00,73.00
66.00,29.00,73.00
48.00,80.00,41.00
90.00,83.00,63.00
52.00,46.00,60.00
61.00,75.00,75.00
44.00,34.00,32.00
69.00,32.00,35.00
35.00,45.00,36.00
81.00,65.00,33.00
21.00,44.00,86.00
90.00,81.00,83.00
41.00,86.00,52.00
35.00,79.00,22.00
38.00,46.00,94.00
99.00,35.00,83.00
48.00,54.00,97.00
98.00,54.00,34.00
49.00,62.00,52.00
28.00,72.00,84.00
39.00,58.00,66.00
62.00,59.00,74.00
49.00,60.00,26.00
90.00,90.00,47.00
40.00,32.00,49.00
62.00,75.00,72.00
21.00,34.00,32.00
85.00,38.00,75.00
81.00,70.00,43.00
42.00,80.00,69.00
39.00,21.00,92.00
94.00,96.00,99.00
43.00,55.00,42.00
41.00,85.00,41.00
57.00,95.00,56.00
64.00,21.00,20.00
48.00,23.00,29.00
43.00,29.00,86.00
100.00,60.00,50.00
42.00,27.00,83.00
42.00,99.00,27.00
99.00,39.00,88.00
61.00,20.00,95.00
64.00,60.00,75.00
100.00,60.00,27.00
84.00,35.00,76.00
75.00,32.00,97.00
67.00,97.00,96.00
22.00,24.00,34.00
37.00,76.00,92.00
49.00,64.00,83.00
38.00,22.00,60.00
81.00,45.00,100.00
25.00,85.00,77.00
96.00,66.00,93.00
74.00,84.00,38.00
24.00,62.00,22.00
43.00,24.00,34.00
92.00,47.00,34.00
50.00,70.00,60.00
45.00,86.00,65.00
35.00,40.00,65.00
44.00,100.00,63.00
28.00,42.00,21.00
52.00,65.00,68.00
32.00,88.00,89.00
70.00,55.00,97.00
55.00,90.00,75.00
71.00,66.00,39.00
24.00,51.00,27.00
83.00,53.00,89.00
89.00,33.00,38.00
61.00,71.00,56.00
65.00,46.00,69.00
90.00,25.00,90.00
56.00,66.00,32.00
20.00,33.00,71.00
60.00,36.00,23.00
29.00,30.00,22.00
61.00,26.00,44.00
81.00,80.00,57.00
84.00,32.00,96.00
27.00,53.00,28.00
92.00,85.00,89.00
68.00,63.00,21.00
22.00,73.00,40.00
54.00,29.00,93.00
38.00,23.00,60.00
43.00,73.00,92.00
59.00,90.00,31.00
80.00,57.00,69.00
72.00,81.00,78.00
22.00,44.00,61.00
74.00,82.00,22.00
69.00,91.00,98.00
22.00,90.00,37.00
63.00,33.00,23.00
62.00,61.00,62.00
33.00,44.00,87.00
73.00,53.00,22.00
76.00,88.00,99.00
43.00,56.00,77.00
75.00,83.00,82.00
32.00,77.00,49.00
81.00,66.00,29.00
94.00,51.00,42.00
35.00,57.00,82.00
64.00,70.00,60.00
71.00,30.00,99.00
30.00,93.00,23.00
24.00,98.00,90.00
85.00,89.00,78.00
28.00,78.00,53.00
38.00,30.00,27.00
63.00,70.00,20.00
100.00,45.00,87.00
72.00,27.00,81.00
31.00,97.00,47.00
21.00,85.00,66.00
100.00,34.00,44.00
28.00,89.00,25.00
38.00,84.00,44.00
47.00,26.00,45.00
33.00,70.00,33.00
35.00,77.00,75.00
32.00,75.00,85.00
96.00,74.00,68.00
51.00,66.00,35.00
46.00,25.00,86.00
31.00,39.00,79.00
26.00,92.00,38.00
54.00,57.00,50.00
95.00,39.00,22.00
74.00,56.00,32.00
99.00,57.00,86.00
26.00,22.00,33.00
87.00,61.00,81.00
41.00,97.00,40.00
97.00,67.00,49.00
99.00,41.00,51.00
73.00,21.00,56.00
44.00,22.00,27.00
53.00,72.00,26.00
34.00,27.00,95.00
80.00,49.00,40.00
93.00,75.00,69.00
25.00,94.00,90.00
100.00,31.00,20.00
57.00,75.00,60.00
80.00,89.00,74.00
69.00,38.00,72.00
50.00,70.00,66.00
68.00,100.00,55.00
79.00,58.00,79.00
86.00,44.00,32.00
37.00,67.00,98.00
82.00,65.00,35.00
32.00,45.00,49.00
76.00,62.00,30.00
68.00,35.00,23.00
60.00,96.00,24.00
73.00,81.00,27.00
22.00,49.00,48.00
29.00,97.00,59.00
44.00,41.00,61.00
86.00,97.00,73.00
67.00,23.00,79.00
72.00,55.00,52.00
60.00,21.00,34.00
86.00,79.00,99.00
37.00,33.00,60.00
25.00,68.00,52.00
86.00,29.00,31.00
67.00,48.00,32.00
87.00,63.00,64.00
20.00,75.00,65.00
94.00,53.00,45.00
35.00,28.00,64.00
69.00,21.00,60.00
68.00,82.00,33.00
92.00,32.00,42.00
65.00,61.00,67.00
86.00,82.00,67.00
39.00,95.00,39.00
76.00,79.00,27.00
58.00,38.00,83.00
22.00,55.00,76.00
59.00,93.00,75.00
72.00,88.00,36.00
67.00,60.00,98.00
71.00,46.00,76.00
63.00,72.00,97.00
40.00,37.00,33.00
51.00,72.00,26.00
91.00,53.00,93.00
99.00,66.00,83.00
23.00,75.00,37.00
21.00,65.00,27.00
25.00,57.00,61.00
89.00,33.00,30.00
88.00,69.00,51.00
27.00,72.00,63.00
68.00,24.00,93.00
80.00,80.00,33.00
98.00,30.00,33.00
87.00,26.00,76.00
51.00,40.00,28.00
72.00,57.00,82.00
23.00,61.00,54.00
25.00,77.00,62.00
95.00,86.00,55.00
50.00,29.00,99.00
85.00,32.00,72.00
57.00,63.00,59.00
73.00,99.00,92.00
31.00,32.00,49.00
50.00,94.00,30.00
71.00,94.00,33.00
24.00,80.00,48.00
95.00,63.00,88.00
21.00,99.00,55.00
36.00,34.00,89.00
59.00,33.00,28.00
51.00,23.00,85.00
76.00,50.00,79.00
37.00,69.00,34.00
33.00,33.00,36.00
43.00,25.00,87.00
53.00,23.00,75.00
42.00,44.00,33.00
88.00,83.00,53.00
88.00,38.00,34.00
55.00,72.00,22.00
90.00,48.00,94.00
33.00,86.00,58.00
80.00,91.00,38.00
46.00,46.00,36.00
44.00,29.00,60.00
83.00,80.00,48.00
42.00,86.00,47.00
35.00,58.00,44.00
81.00,43.00,20.00
55.00,45.00,49.00
87.00,28.00,24.00
31.00,78.00,58.00
45.00,38.00,29.00
95.00,52.00,77.00
63.00,32.00,96.00
40.00,33.00,58.00
46.00,91.00,63.00
80.00,33.00,74.00
41.00,41.00,39.00
42.00,96.00,48.00
41.00,61.00,57.00
22.00,37.00,90.00
90.00,64.00,35.00
81.00,24.00,60.00
52.00,56.00,34.00
80.00,32.00,69.00
86.00,35.00,70.00
35.00,97.00,65.00
26.00,30.00,96.00
60.00,89.00,76.00
28.00,22.00,93.00
48.00,93.00,71.00
40.00,63.00,29.00
98.00,75.00,58.00
99.00,97.00,38.00
45.00,83.00,71.00
61.00,29.00,100.00
30.00,36.00,55.00
49.00,47.00,46.00
96.00,83.00,58.00
33.00,51.00,26.00
52.00,77.00,23.00
85.00,65.00,28.00
84.00,51.00,25.00
51.00,31.00,96.00
88.00,46.00,35.00
43.00,59.00,60.00
30.00,51.00,61.00
48.00,80.00,42.00
80.00,66.00,38.00
73.00,88.00,57.00
42.00,53.00,74.00
35.00,40.00,61.00
26.00,87.00,36.00
96.00,95.00,34.00
41.00,58.00,84.00
99.00,45.00,56.00
80.00,54.00,75.00
32.00,81.00,38.00
65.00,33.00,77.00
47.00,83.00,26.00
28.00,62.00,40.00
59.00,97.00,88.00
30.00,89.00,29.00
25.00,23.00,56.00
44.00,55.00,74.00
72.00,99.00,92.00
100.00,49.00,48.00
96.00,87.00,46.00
22.00,80.00,47.00
46.00,49.00,37.00
58.00,20.00,65.00
32.00,77.00,87.00
39.00,20.00,93.00
38.00,22.00,97.00
89.00,79.00,88.00
69.00,90.00,67.00
84.00,89.00,79.00
27.00,79.00,100.00
66.00,88.00,52.00
45.00,37.00,25.00
49.00,58.00,40.00
51.00,100.00,98.00
91.00,46.00,79.00
32.00,88.00,93.00
83.00,97.00,89.00
79.00,93.00,26.00
51.00,98.00,20.00
27.00,27.00,46.00
42.00,87.00,77.00
35.00,95.00,46.00
89.00,40.00,67.00
37.00,42.00,47.00
35.00,77.00,51.00
42.00,40.00,64.00
28.00,64.00,35.00
100.00,89.00,94.00
96.00,58.00,52.00
82.00,55.00,33.00
37.00,71.00,77.00
68.00,65.00,41.00
92.00,88.00,59.00
88.00,85.00,58.00
35.00,35.00,62.00
99.00,21.00,88.00
93.00,29.00,88.00
49.00,87.00,63.00
93.00,99.00,77.00
40.00,83.00,41.00
57.00,60.00,74.00
82.00,66.00,63.00
60.00,62.00,27.00
63.00,96.00,71.00
95.00,47.00,65.00
29.00,88.00,28.00
95.00,72.00,59.00
65.00,96.00,79.00
37.00,22.00,26.00
40.00,38.00,37.00
98.00,36.00,48.00
51.00,28.00,71.00
76.00,80.00,69.00
41.00,88.00,30.00
88.00,87.00,27.00
55.00,36.00,56.00
89.00,32.00,63.00
44.00,59.00,68.00
85.00,83.00,69.00
36.00,93.00,55.00
22.00,37.00,73.00
70.00,84.00,77.00
43.00,54.00,51.00
67.00,21.00,86.00
98.00,43.00,50.00
68.00,40.00,84.00
38.00,94.00,82.00
35.00,81.00,27.00
56.00,79.00,52.00
64.00,37.00,58.00
52.00,93.00,94.00
54.00,48.00,96.00
81.00,56.00,85.00
30.00,55.00,27.00
76.00,81.00,92.00
75.00,72.00,89.00
33.00,27.00,79.00
89.00,81.00,21.00
47.00,22.00,70.00
22.00,29.00,20.00
48.00,37.00,51.00
45.00,46.00,42.00
26.00,31.00,78.00
28.00,44.00,34.00
84.00,82.00,63.00
71.00,45.00,98.00
83.00,68.00,98.00
45.00,48.00,31.00
68.00,37.00,46.00
66.00,94.00,98.00
48.00,35.00,20.00
39.00,97.00,85.00
27.00,55.00,92.00
58.00,45.00,87.00
99.00,64.00,21.00
36.00,55.00,65.00
65.00,37.00,66.00
46.00,89.00,61.00
20.00,90.00,82.00
73.00,21.00,30.00
60.00,52.00,71.00
43.00,86.00,62.00
80.00,79.00,80.00
59.00,42.00,21.00
41.00,52.00,87.00
67.00,91.00,52.00
69.00,39.00,55.00
69.00,62.00,95.00
45.00,64.00,67.00
60.00,26.00,64.00
68.00,33.00,58.00
96.00,21.00,73.00
71.00,38.00,86.00
96.00,34.00,68.00
97.00,28.00,31.00
39.00,50.00,34.00
95.00,92.00,89.00
89.00,22.00,73.00
72.00,78.00,95.00
80.00,42.00,46.00
28.00,74.00,40.00
83.00,31.00,83.00
69.00,77.00,97.00
76.00,46.00,40.00
33.00,53.00,38.00
29.00,84.00,79.00
54.00,35.00,89.00
32.00,38.00,37.00
61.00,40.00,91.00
75.00,27.00,92.00
80.00,49.00,92.00
90.00,65.00,35.00
46.00,77.00,97.00
95.00,40.00,61.00
39.00,80.00,99.00
62.00,29.00,77.00
96.00,55.00,80.00
45.00,30.00,99.00
95.00,42.00,27.00
41.00,43.00,29.00
52.00,51.00,35.00
59.00,22.00,80.00
62.00,30.00,83.00
22.00,34.00,37.00
86.00,71.00,69.00
47.00,55.00,54.00
79.00,67.00,89.00
92.00,67.00,86.00
84.00,39.00,77.00
58.00,52.00,27.00
35.00,86.00,52.00
35.00,81.00,54.00
90.00,82.00,60.00
95.00,100.00,66.00
75.00,97.00,24.00
87.00,59.00,81.00
93.00,41.00,94.00
81.00,47.00,98.00
65.00,71.00,91.00
87.00,20.00,84.00
82.00,71.00,100.00
87.00,41.00,99.00
45.00,96.00,89.00
26.00,81.00,81.00
23.00,94.00,82.00
25.00,77.00,91.00
73.00,100.00,72.00
68.00,37.00,20.00
39.00,61.00,50.00
62.00,74.00,38.00
92.00,58.00,81.00
86.00,20.00,24.00
69.00,95.00,58.00
90.00,73.00,61.00
65.00,55.00,80.00
43.00,48.00,97.00
80.00,24.00,76.00
68.00,45.00,60.00
76.00,34.00,91.00
69.00,64.00,77.00
44.00,72.00,91.00
68.00,40.00,91.00
83.00,85.00,43.00
72.00,40.00,25.00
54.00,80.00,97.00
66.00,72.00,32.00
20.00,66.00,26.00
98.00,86.00,42.00
92.00,64.00,91.00
29.00,48.00,69.00
77.00,58.00,23.00
92.00,48.00,26.00
80.00,77.00,38.00
23.00,39.00,54.00
94.00,85.00,52.00
98.00,59.00,100.00
55.00,55.00,23.00
21.00,72.00,98.00
42.00,98.00,96.00
61.00,70.00,73.00
46.00,59.00,40.00
27.00,86.00,36.00
48.00,91.00,58.00
72.00,54.00,66.00
51.00,56.00,100.00
61.00,86.00,95.00
42.00,92.00,86.00
85.00,33.00,53.00
33.00,32.00,95.00
86.00,21.00,77.00
94.00,49.00,83.00
24.00,26.00,94.00
30.00,97.00,73.00
69.00,89.00,93.00
60.00,71.00,94.00
30.00,99.00,36.00
92.00,74.00,62.00
91.00,61.00,80.00
59.00,74.00,23.00
70.00,50.00,90.00
53.00,79.00,59.00
40.00,58.00,29.00
71.00,91.00,28.00
85.00,77.00,78.00
88.00,29.00,65.00
34.00,79.00,76.00
41.00,58.00,89.00
20.00,63.00,82.00
59.00,68.00,30.00
30.00,84.00,32.00
51.00,38.00,75.00
38.00,23.00,95.00
32.00,83.00,52.00
74.00,33.00,56.00
99.00,45.00,28.00
53.00,28.00,21.00
39.00,29.00,64.00
67.00,72.00,80.00
75.00,25.00,64.00
23.00,77.00,33.00
73.00,98.00,31.00
93.00,86.00,95.00
100.00,99.00,67.00
85.00,30.00,40.00
44.00,76.00,52.00
26.00,52.00,49.00
100.00,58.00,90.00
48.00,50.00,51.00
41.00,40.00,83.00
79.00,78.00,85.00
45.00,73.00,29.00
47.00,79.00,38.00
53.00,53.00,79.00
97.00,96.00,52.00
61.00,54.00,90.00
58.00,52.00,94.00
78.00,29.00,58.00
36.00,54.00,30.00
24.00,42.00,68.00
95.00,54.00,61.00
85.00,90.00,53.00
81.00,35.00,93.00
71.00,21.00,57.00
24.00,71.00,97.00
30.00,56.00,98.00
83.00,20.00,46.00
49.00,34.00,81.00
38.00,24.00,94.00
99.00,87.00,83.00
55.00,88.00,60.00
82.00,69.00,28.00
44.00,49.00,29.00
85.00,79.00,87.00
94.00,69.00,79.00
24.00,33.00,69.00
35.00,56.00,83.00
32.00,73.00,52.00
49.00,46.00,64.00
25.00,57.00,80.00
42.00,97.00,33.00
80.00,99.00,84.00
85.00,85.00,51.00
81.00,57.00,74.00
38.00,71.00,34.00
23.00,25.00,40.00
85.00,32.00,39.00
95.00,81.00,91.00
46.00,100.00,79.00
98.00,27.00,90.00
99.00,22.00,100.00
73.00,34.00,45.00
21.00,45.00,97.00
69.00,76.00,38.00
55.00,78.00,95.00
27.00,73.00,79.00
23.00,72.00,49.00
48.00,70.00,80.00
87.00,73.00,74.00
52.00,31.00,47.00
78.00,98.00,73.00
82.00,89.00,53.00
70.00,77.00,28.00
72.00,25.00,88.00
48.00,52.00,66.00
55.00,50.00,84.00
44.00,52.00,31.00
44.00,49.00,70.00
50.00,44.00,88.00
38.00,43.00,72.00
80.00,98.00,92.00
44.00,54.00,76.00
60.00,50.00,75.00
50.00,62.00,88.00
39.00,26.00,83.00
38.00,43.00,60.00
87.00,26.00,69.00
68.00,90.00,41.00
70.00,83.00,60.00
44.00,35.00,23.00
61.00,100.00,48.00
